Date,Location,Temperature (°C),Humidity (%),Rainfall (mm),Soil pH,Soil Moisture (%),Nitrate Level (mg/kg),Phosphorus Level (mg/kg),Potassium Level (mg/kg),Crop Type,Crop Yield (kg/ha),Fertilizer Used (kg/ha),Pesticides Used (kg/ha),Water Usage (L/ha)
02:25.0,Farm B,33.98,43.82,17.6,6,13.29,20.59,1.73,12.94,Soybeans,,144.39,9.85,452.04
02:25.0,,,44.56,1.17,7.03,,7.38,,47.99,,1195.33,28.55,5.02,
02:25.0,Farm C,33.93,73.49,,7.27,37.88,44.14,7.33,13.9,Rice,1185.68,120.77,,1225.34
02:25.0,Farm D,19.68,61.19,35.12,6.55,34.3,19.51,35.69,4.15,Soybeans,1790.49,64.44,5.69,1971.64
02:25.0,Farm B,29.7,,24.94,7.81,25.31,1.87,27.63,28.43,Rice,3905.71,138.52,8.93,1359.01
02:25.0,Farm D,34.72,34.72,8.1,5.37,18.7,49.48,32.15,,Wheat,1684.11,159.96,7.43,548.69
02:25.0,Farm D,17.19,,49.83,7.5,23.84,10.04,9.6,11.72,Soybeans,3806.67,37.76,1.82,
02:25.0,Farm D,19.68,67.07,17.29,5.47,27.71,8.47,11.2,,Wheat,4414.19,5.84,2.02,687.79
02:25.0,Farm C,19.99,53.81,6.65,7.54,33.78,49.49,14.51,4.18,Wheat,,113.31,5.36,1674.46
,Farm D,25.09,,29.27,5.13,22.55,22.49,21.86,,,3508.17,96.49,0.39,1610.21
02:25.0,Farm B,15.63,72.56,45.77,5.96,24.08,31.75,11.43,39.89,Corn,2453.06,160.86,9.37,801.24
02:25.0,Farm B,15.25,32.57,26.78,7.28,31.76,26.16,6.64,14.44,Corn,2150.93,171.85,8.84,1267.28
02:25.0,Farm B,16.71,,49.94,6.76,31.26,,28.32,43.5,Corn,2631.09,194.61,4.48,249.25
02:25.0,Farm C,32.4,,4.82,,39.01,49.56,28.57,18.01,Soybeans,3617.52,126.83,1.66,1086.27
02:25.0,Farm D,21.94,45.86,23.2,,25.48,11.32,,31.68,Wheat,2717.01,104.95,5.11,967.64
02:25.0,Farm A,26.94,33.41,34.75,,33.79,44.39,30.97,5.65,Wheat,3193.8,180.89,7.24,245.99
02:25.0,Farm A,18.4,,12.76,,33.66,46.31,20.98,36.05,Soybeans,,93.85,4.88,610.12
02:25.0,Farm B,20.78,,0.34,7.36,13.52,21.48,34.2,41.33,,4966.45,28.57,2.23,1646.93
02:25.0,Farm D,26.19,60.78,21.09,5.95,13.44,42.22,38.59,7.19,Rice,2547.65,107.78,9.02,763.56
02:25.0,Farm B,29.25,56.59,0.97,6.83,34.61,22.88,21.19,45.34,Corn,3624.85,36.53,,1274.77
02:25.0,Farm C,23.4,44.47,28.79,7.85,17.74,31.59,12.24,,Soybeans,3726.78,135.23,9.63,666.67
02:25.0,Farm A,16.62,49.13,37.68,7.09,26.99,20.68,13.36,39.81,Wheat,1018.7,,9.8,1411.6
,Farm C,33.15,61.29,17.31,7.03,23.53,7.26,32.16,12.08,Rice,3894.71,172.42,3.76,
,Farm B,29.2,53.88,20.99,6.71,25.2,,5.91,27.59,Wheat,2753.71,11.93,2.16,276.99
02:25.0,Farm A,23.77,64.22,24.62,6.35,20.14,42.19,33.05,14.74,Rice,3845.1,132.03,7.44,579.35
02:25.0,Farm A,17.32,43.31,16.45,7.11,13.19,33.17,34.04,24.47,Rice,4546.07,163.94,7.1,
,Farm A,18.78,66.8,11.15,7.78,39.79,15.08,36.59,4.09,Corn,4952.08,170.33,4.03,1339.97
02:25.0,Farm A,28.08,70.32,36.56,5.78,35.09,12.07,12.04,28.3,Rice,3265.69,186.55,6.13,732.39
02:25.0,Farm B,25.08,88.17,1.97,6.4,26.26,16.57,,34.7,Wheat,4551.36,154.41,8.43,575.4
02:25.0,Farm B,33.79,52.35,19.38,,33.65,21.83,31.55,38.39,Corn,1956.05,,8.71,486.25
02:25.0,Farm C,,57.51,7.82,6.34,35.83,22.8,6.91,4.42,Rice,4355.65,142.31,0.36,234.84
02:25.0,Farm C,24.79,,16.49,,13.84,28.08,4.38,32.28,Corn,4310.68,125.58,6.71,1587.76
02:25.0,Farm A,23.73,53.49,34.04,6.22,12.04,14.51,25.53,9.1,Corn,3064.53,60.03,7.59,260.65
02:25.0,Farm A,34.99,88.45,16.92,5.28,28.25,38.83,,44.11,Rice,4581.13,195.55,5.35,1691.13
02:25.0,Farm D,24.95,71.88,15.63,6.01,34.35,,31.2,41.59,Corn,3259.79,,5.46,824.6
02:25.0,Farm C,18.96,48.12,42.92,6.86,38.43,11.82,21.39,44.64,Soybeans,,56.79,4.99,1257.75
02:25.0,Farm B,30.67,65.77,35.82,6.79,11.35,11.32,13.19,14.2,Corn,1306.72,153.15,1.22,1579.97
,Farm C,27.57,70.73,17,7.31,29.31,15.49,30.77,42.43,Soybeans,2112.46,149.23,7.15,412.03
02:25.0,Farm B,17.95,46.61,9.06,6.48,15.52,36.84,20.28,19.49,Rice,1330.74,191.19,3.6,1528.17
02:25.0,,25.25,50.06,3.88,7.32,,21.94,22.51,8.4,Corn,3682.26,102.16,1.19,1182.15
02:25.0,Farm C,19.57,,37.89,7.45,,19.59,16.65,,Wheat,1365.65,7.39,8.69,675.23
02:25.0,Farm C,34.48,64.12,14.9,,35.91,34.07,38.61,48.39,Wheat,3942.19,,0.87,1315.39
02:25.0,Farm B,26.86,49.82,30.98,5.94,,29.69,16.79,,Corn,3704.07,20.98,7.99,1881.48
02:25.0,Farm B,21.34,30.15,1.17,7.37,,34.46,8.98,10.93,Wheat,2691.09,130.13,1.33,1618.55
02:25.0,Farm A,19.31,81.37,5.96,7.93,30.74,40.28,2.64,3.79,Wheat,2498.46,168.48,7.18,1774.07
02:25.0,Farm D,16.45,56.22,34.15,7.43,24,36.43,,3.2,,2555.15,102.23,3.71,966.63
02:25.0,Farm C,26.45,49.88,22.36,7.5,19.41,1.57,35.5,31.9,Corn,2476.67,181.93,6.28,333.3
02:25.0,Farm D,,85.88,36.54,5.5,32.82,22.25,,33.38,Wheat,3445.04,160.44,,
,Farm A,30.95,,46.27,6.09,35.96,,,36.74,Soybeans,4985.12,61.27,9.91,408.87
02:25.0,Farm A,15.81,66.7,19.23,7.19,11.21,43.25,30.59,2.91,Corn,3583.65,138.18,6.14,1456.82
02:25.0,Farm A,,56.13,9.46,6.83,33.52,44.64,4.34,,Rice,,111.18,4.81,749.86
02:25.0,Farm B,28.64,74.55,27.2,7.36,13.98,22.21,23.04,10.3,Wheat,1502.82,38.93,9.45,
02:25.0,Farm D,29.68,,47.73,7.64,,17.24,18.79,3.61,,1416.24,,1.03,
02:25.0,Farm C,31.59,32.88,4.16,,29.8,42.71,27.03,10.36,Wheat,1727.88,24.69,5.92,
02:25.0,Farm C,29.9,43.39,33.48,5.13,30.5,35.97,7.41,0.69,Rice,3970.93,119.38,3.53,1684.1
02:25.0,Farm C,34.54,47.82,21.01,5.2,38.79,14.19,,27.12,Soybeans,1750.07,25.44,7.99,124.11
02:25.0,Farm D,29.99,83.96,12.89,5.02,,15.88,20.29,,Wheat,3104.5,2.32,3.6,1189.23
02:25.0,Farm C,,59.55,1.86,5.09,,12.38,20.94,36.04,Corn,3811.25,,5.22,326.2
,Farm C,15.24,50.85,46.05,7.36,,28.56,4.76,10.63,Corn,4213.43,124.91,5.16,748.44
02:25.0,Farm A,27.19,61.11,48.66,6.26,26.3,28.87,33.3,27.95,Corn,2446.01,158.25,2.71,604.28
02:25.0,Farm D,21.15,,2.03,6.97,18.14,,23.76,7.92,Soybeans,1483.24,186.19,3.07,
02:25.0,Farm D,32.35,,19.73,7.59,38.8,30.11,15.52,23.29,Corn,4798.9,111.69,6.12,400.74
02:25.0,Farm B,,,40.58,7.36,18.38,19.98,17.81,22.44,Rice,1311.37,177.32,6.08,527.58
02:25.0,Farm C,21.58,86.88,40.82,5.36,37.05,25.92,19.45,24.58,Wheat,4438.16,114.68,,1792.79
02:25.0,Farm C,15.02,83.76,12.24,5.9,14.42,17.15,20.33,9.61,,4943.37,62.74,3.26,1014.61
02:25.0,Farm C,17.18,35.54,23.66,7.11,16.09,26.98,2.63,38.54,Wheat,2174.49,136.9,4.85,1154.82
02:25.0,Farm A,18.78,36.51,19.78,7.85,16.42,23.04,,0.27,Soybeans,1281.4,56.39,3.77,1824.49
02:25.0,Farm A,27.05,46.29,,5.64,30.49,24.07,17.75,39.84,Wheat,3736.25,181.43,2.09,
02:25.0,,32.52,72.29,17.37,6.62,27.49,40.41,35.83,35.36,,4505.13,129.91,1.4,
02:25.0,Farm A,15.38,49.47,10.85,7.06,29.28,19.2,26.67,34.76,Rice,2464.52,190.2,3.49,1723.97
02:25.0,Farm B,22.13,89.68,12.12,7.98,19.33,6,,0.36,Wheat,,,7.11,1573.14
02:25.0,,15.28,,40.92,7.18,26.12,23.37,30.6,44.76,Wheat,4348.66,170.74,0.58,1878.29
02:25.0,Farm B,33.12,59.49,43.89,6.98,21.6,39.54,22.62,45.58,Wheat,4243.21,129.2,5.02,1577.73
02:25.0,Farm A,24.57,55.71,9.53,6.21,17.31,47.96,19.85,39.43,Soybeans,2565.59,,4.4,1827.82
02:25.0,Farm C,33.65,76.32,33.15,,28.25,38.16,35.04,36.44,Corn,2735.39,147.3,7.53,594.68
02:25.0,Farm A,18.76,81.75,14.44,6.59,27.29,35.88,23.64,14.69,Corn,3747.72,190.67,3.5,1321.84
02:25.0,Farm D,18.83,42.54,29.92,5.16,12.22,9.92,23.91,,Wheat,3389.04,111.53,7.72,520.16
02:25.0,,24.42,32.51,25.05,,38.32,28.33,30.86,4.22,Soybeans,4223.83,176.84,0.17,454.79
02:25.0,Farm C,33.51,71.38,22.25,5.27,32.9,,36.55,44.97,Soybeans,,55.54,1.4,1560.64
02:25.0,Farm B,23.41,65.36,40.62,6.33,12.36,23.87,20.08,15.7,Rice,2352.93,126.12,2.53,781.03
02:25.0,Farm B,18.76,85.38,42.69,7.47,32.58,43.85,10.62,9.99,Wheat,2688.69,192.92,4.74,1196.43
02:25.0,Farm C,18.96,61.11,30.63,7.66,28.75,12.26,14.02,,Rice,,119,,805.03
02:25.0,Farm C,16.62,77.39,27.73,7.03,15.88,49.19,29.41,12.63,Wheat,3884.96,66.16,3.3,1833.65
02:25.0,Farm B,24.44,30.57,37.31,5.9,27.39,17.71,17.48,23.04,Wheat,1919.24,93.57,5.13,1282.4
02:25.0,Farm C,27.83,81.33,4.35,,29.9,9.63,10.46,34.45,Corn,1281.89,,4.13,
02:25.0,Farm A,19.44,62.12,15.09,6.08,15.41,17.46,33.04,20.14,,3964.45,165.53,4.31,320.18
02:25.0,Farm B,20.22,59.55,47.5,5.25,,42.28,30.11,24.6,,2109.47,15.47,,259.58
,Farm B,22.29,41.81,4.94,6.39,37.73,25.43,35.15,24.93,Corn,4565.61,123.02,,919.97
02:25.0,Farm C,19.35,38.21,45.38,5.46,10.2,5.92,8.3,3.48,Wheat,4592.29,120.73,,1586.94
02:25.0,Farm D,24.37,80.89,35.36,5.01,34.62,21.64,21.56,9.81,Corn,2293.9,121.1,0.71,1776.23
02:25.0,Farm D,20.44,31.99,13.17,6.43,39.36,,14.33,26.63,Wheat,4303.14,40.61,9.34,1160.35
,Farm A,22.51,86,6.27,7.01,10.07,27.6,38.09,19.84,Corn,2305.73,64.29,7.73,513.98
02:25.0,Farm C,33.87,35.66,,5.16,14.94,31.32,24.95,32.28,Rice,4766.53,151.57,,182.76
02:25.0,Farm A,33.81,40.14,49.24,,33.93,25.97,11.12,,Wheat,2848.99,73.17,3.85,402.26
02:25.0,Farm C,24.77,36.51,19.89,5.45,12.1,6.7,7.77,24.46,Rice,1352.68,151.15,3.58,1334.6
02:25.0,Farm B,33.25,34.31,5.24,6.8,18.25,49.46,19.94,5.86,Wheat,2831.46,8.68,3.8,1072.08
,Farm C,16.76,71.91,19.93,6.43,39.34,29.77,7.28,18.31,Soybeans,4842.37,,3.18,1210.82
02:25.0,Farm C,15.89,53.63,33.69,6.21,,33.55,,11.09,Wheat,,145.45,9.75,1207.8
02:25.0,Farm C,15.35,45.86,48.77,7.59,16.12,6.46,14.85,19.44,Wheat,3560.09,184.71,6.37,380.49
02:25.0,Farm D,17.79,68.64,22.23,6.28,19.88,,,35.65,,2172.79,85.73,,1076.32
02:25.0,Farm C,17.24,72.1,21.63,6.57,20.05,14.58,33.91,34.52,Soybeans,1117.9,65.8,5.27,543.44
02:25.0,Farm D,20.71,73.86,40.13,5.48,37.58,42.05,30.26,,Corn,3941.36,169.87,8.39,565.2
02:25.0,,16.5,82.61,,7.6,17.72,46.9,38.16,35.05,Wheat,4161.89,81.22,0.81,1162.81
02:25.0,Farm A,16.96,84.65,17.04,5.79,23.32,25.88,,41.07,Corn,,1.88,4.81,1904.3
02:25.0,Farm D,22.49,87.76,35.56,5.28,20.54,40.8,24.6,28.24,Wheat,3464.15,21.43,0.6,751.14
02:25.0,Farm A,,,,7.72,20.92,3.62,37.86,32.96,Soybeans,4465.76,,4.54,594.62
02:25.0,Farm D,21.88,40.86,49.03,7.73,26.73,,33.23,47.32,Soybeans,1908.7,36.47,,1173.2
02:25.0,Farm C,27.91,44.38,11.13,5.64,36.85,45.29,16.96,14,Corn,4546.55,126.4,6.45,
02:25.0,Farm C,17.13,72.53,32.68,,10.31,32.4,33.88,48.05,Rice,4734.47,56.84,7.03,844.51
02:25.0,,32.11,85.88,,6.61,16,43.86,19.87,23.34,Corn,2067.97,43.17,8.87,1856.86
02:25.0,,25.72,60,30.65,7.75,28.35,42.66,11.77,10.8,Wheat,3597.26,175.53,6.04,134.09
02:25.0,Farm A,22.23,,48.09,5.04,19.5,1.41,10.47,,,3381.06,153.19,,855.76
02:25.0,Farm A,25.23,51.57,49.5,5.73,10.79,37.37,29.37,43.76,Corn,1570.83,176.63,8.1,1233.59
02:25.0,Farm D,25.23,66.28,29.42,6.14,14.4,46.22,3.11,,Wheat,3590.02,85.17,9.05,548.39
02:25.0,Farm A,28.66,78.55,10.48,6.53,15.15,42.92,39.07,40.41,Wheat,2939.63,108.13,6.24,1438.43
02:25.0,Farm C,26.79,66.52,47.82,,26.55,,36.15,,Rice,2527.42,158.79,4.53,909.11
02:25.0,Farm B,23.75,64.36,13.33,6.15,26.99,4.49,8.3,10.91,Rice,2811.33,21.52,3.2,1052.29
02:25.0,Farm A,24.44,67.51,41.39,6.39,36.31,15.47,17.17,,Wheat,2163.62,174.67,9.66,792.43
,Farm C,26.37,75.34,27.27,5.44,25.08,40.39,12.92,7.58,Corn,,175.17,4.61,1352.82
02:25.0,Farm C,19.47,66.21,12,7.52,13.96,6,23.4,32.18,Rice,4039.86,48.83,0.92,604.42
02:25.0,Farm C,27.62,33.84,7.4,6.5,23.88,40.22,25.44,43.61,Rice,1232.33,143.68,5.02,950.34
02:25.0,Farm A,21.25,55.2,29.57,5.25,24.64,18.51,36.83,9.24,Corn,2980.05,6.97,7.85,819.73
02:25.0,Farm A,27.35,87.92,2.11,5.16,28.58,44.1,23.86,13.29,Wheat,2216.69,23.11,5.76,1180.91
02:25.0,Farm C,25.22,48.4,14.26,7.06,34.75,14.82,39.04,1.36,,,80.14,5.69,463.72
,Farm A,17.45,37.73,23.27,6.08,22.99,42.79,26.01,26.09,Corn,,58.13,8.49,1519.94
02:25.0,Farm B,21.91,,30.99,6.95,27.86,25.18,16.11,11.21,Corn,4184.93,138.47,6.46,1860.66
,Farm B,19.61,60.65,12.88,6.72,31.74,6.7,18.97,46.82,Wheat,1752.04,,,1688.06
02:25.0,Farm B,33.05,49.35,4.38,5.1,33.89,44.58,31.62,45.38,Soybeans,4414.33,85.12,0.71,1135.07
02:25.0,Farm A,32.96,59.28,15.64,6.63,22.13,14.94,9.8,,Soybeans,2590.94,,0.49,293.11
02:25.0,Farm D,29.1,67.15,28.83,5.67,25.92,35.39,2.01,1.83,,4023.13,160.98,9.81,393.72
02:25.0,Farm A,33.05,88.42,45.45,6.94,37.44,26.75,0.73,4.37,,4947.32,57.63,7.36,925.91
,Farm D,27.15,,27.47,5.28,18.97,12.85,9.95,10.93,Wheat,,19.04,2.75,486.59
02:25.0,Farm C,16.84,42.15,21.7,5.3,39.28,49.36,22.07,,Soybeans,4682.7,5.76,5.99,1936.13
02:25.0,,27.46,85.29,31.46,6.41,19.51,22.43,32.99,47.56,Soybeans,4684.39,176.54,4.01,1484.17
02:25.0,Farm B,15.77,32.69,8.31,6.38,10.73,24.6,5.27,24.42,Soybeans,2023.84,45.51,3.72,1392.44
02:25.0,Farm D,18.89,38,8.97,6.79,18.47,30.64,0.95,24.8,Wheat,2097.1,9.3,,1079.6
02:25.0,Farm D,27.12,74.65,15.16,6.97,16.16,40.54,39.24,1.97,Corn,4734.92,107.45,9.42,
02:25.0,Farm C,29.81,34.74,46.14,6.44,,30.22,15.91,40.76,Rice,,,,622.97
02:25.0,Farm B,27.27,39.47,4.39,7.65,20.94,19.69,26.25,11.65,Corn,4314.44,37.12,7.59,229.02
02:25.0,Farm D,30.69,45.43,29.63,7.92,13.21,11.64,36.25,35.66,Corn,4436.85,95.9,1.34,
02:25.0,,16.92,58.03,0.12,7.76,10.27,31.25,37.17,18,Rice,2052.44,117.78,5.25,255.06
02:25.0,,19.66,39.73,25.59,5.12,21.57,8.68,17.48,34.56,Corn,,71,8.81,805.56
02:25.0,Farm B,19.18,,1.27,,31.2,39.31,12.06,0.96,Soybeans,2770.02,2.98,6.27,
02:25.0,Farm D,20.45,34.87,9.64,6.65,39.85,38.89,,6.11,Wheat,1554,62.35,,214.6
02:25.0,,28.24,,26.4,5.38,39.73,8.27,0.62,13.58,Corn,4195.05,72.07,4.97,938.56
02:25.0,Farm C,35,71.96,19.77,7.29,23.41,,16.17,,Soybeans,3870.36,138.2,3.14,648.07
02:25.0,Farm B,17.8,64.77,23.14,,24.54,,13.66,12.43,Corn,1243.91,11.24,6.61,1644.66
02:25.0,Farm D,15.95,54.09,40.79,7.51,,21.27,9.55,4.68,Wheat,4329.32,138.66,3.13,1476.32
02:25.0,Farm A,26.64,88.82,7.52,6.03,10.9,16.34,29.66,,Corn,4122.65,11.74,9.7,615.01
02:25.0,Farm C,18.56,,,5.16,25.91,34.65,,5.34,Soybeans,2560.55,173.25,1.6,1307.78
02:25.0,Farm C,23.01,63.28,39.3,7.4,20.96,20.31,1.07,5.06,Soybeans,1277.77,169.8,6.96,1134.4
02:25.0,Farm B,25.44,85.97,,6.25,20.16,15.2,25.33,24.81,Corn,2510.44,,6.87,233.5
02:25.0,Farm A,,76.34,25.18,7.9,,24.08,30.29,,,2596.82,75.81,2.54,
,Farm D,22.59,69.65,46.67,6.54,13.18,2.54,22.65,12.39,Soybeans,3405.95,4.47,5.01,1209.26
02:25.0,Farm C,31.75,,4.94,5.59,39.93,35.2,23.45,13.52,Soybeans,1743.98,21.93,3.61,492.27
02:25.0,Farm B,15.93,48.49,39.4,7.77,,37.92,7.79,22.94,Wheat,3827.98,198.99,2.89,918.48
02:25.0,Farm A,17.83,62.56,44.9,7.56,15.02,30.48,5.45,3.83,Corn,4208.74,138.05,9.14,600.6
02:25.0,,34.52,62.31,9.3,5.55,17.63,38.5,34.55,42.21,Corn,4278.43,157.6,5.3,1268.8
02:25.0,Farm C,22.23,85.41,2.36,5.2,26.35,7.59,32.9,,Wheat,1624.99,142.4,2.2,992.39
02:25.0,Farm C,,68.61,2.82,7.79,,38.9,36.3,,Soybeans,3356.73,113.72,4.95,1265.82
02:25.0,Farm A,,81.49,,5.34,16.97,48.73,7.98,22.06,Rice,2323.25,,6.7,1223.63
02:25.0,Farm B,,40.31,33.43,5.49,34.68,6.67,18.42,47.34,Rice,2676.89,10.51,6.82,1415.24
02:25.0,,30.17,81.61,20.68,5.44,21.03,2.24,14.37,32.98,,3502.44,130.27,0.66,201.45
02:25.0,Farm C,26.11,40.03,19.45,6.92,20.86,24.05,29.24,,Soybeans,2550.55,116.46,7.7,1720.62
02:25.0,Farm C,19.05,32.02,39.15,7.43,26.63,22.81,34.48,28.35,Corn,1950.38,,0.8,1556.8
02:25.0,Farm D,32.59,42.96,1.24,6.08,,11.36,11.16,6.26,Corn,3536.33,79.75,4.13,1461.28
02:25.0,Farm C,15.24,62.41,42.1,6.03,12.41,28.36,34.67,8.32,Soybeans,2571.19,103.83,2.45,958.04
02:25.0,,15.28,67.64,17.38,6.87,29.2,32.22,30.02,47.62,Wheat,4012.34,195.41,2.74,119.82
02:25.0,Farm C,32.53,52.04,2.81,5.44,39.68,,4.27,19,Wheat,3181.69,,0.28,637.52
02:25.0,Farm B,32.28,50.44,9.91,7.57,37.97,14.46,12.4,43.14,Rice,1343.44,,3.1,515.14
02:25.0,Farm A,34.23,,45.04,,31.81,15.82,,16.2,Soybeans,4366.39,51.09,9.57,133.73
02:25.0,Farm D,17.88,,16.04,5.13,12.34,18.52,4.88,9.38,,3124.88,130.95,3.63,1394.83
,Farm D,31.81,39.61,36.45,7.47,11.82,43.02,4.32,42.02,Corn,1832.84,,4.22,434.97
02:25.0,Farm B,22.33,53.65,43.08,6.29,26.43,45.75,9.58,,Corn,3268.62,161.05,3.82,575.02
02:25.0,Farm C,24.05,41.24,41.45,7.4,20.47,24.42,,7.32,Corn,2220.38,168.32,7.06,417.17
02:25.0,Farm B,26.73,64.82,40.85,5.03,36.2,,1.04,20.17,Soybeans,4163.1,80.65,6.67,348.7
02:25.0,Farm D,18.3,64.35,21.08,7.52,,6.21,5.5,,Wheat,3400.09,,6.7,1286.66
02:25.0,Farm A,21.31,44.39,27.44,7.1,22.83,41.64,13.46,48.06,Corn,1437.41,95.54,2.03,1979.14
02:25.0,,29.02,,32.15,5.05,21.62,7.6,12.63,17.38,Wheat,2253.38,10.92,9.75,966.74
02:25.0,Farm A,34.46,36.26,6.67,7.02,31.81,40.5,9.4,45.91,Wheat,3740.29,,7.04,
02:25.0,Farm B,29.68,39.15,2.75,7.63,37.91,47.89,10.12,0.72,Wheat,4722.28,,,447.69
02:25.0,Farm D,22.89,57.77,25.97,5.12,30.43,,3.56,44.66,Corn,2707.18,157.95,4.9,712.34
02:25.0,Farm D,18.73,55.76,10.36,5.92,14,1.16,13.26,0.53,,4498.86,46.5,9.41,1481.22
02:25.0,Farm A,21.82,,4.06,7.93,20.05,29.33,0.71,40.53,,,163.42,4.1,1623.4
02:25.0,,28.01,,1.99,6.77,29.06,5.35,26.54,37.71,Corn,4861.95,83.09,4.41,1165.51
02:25.0,Farm C,19.78,35.6,2.2,5.12,32.1,0.74,23.75,3.77,,3099.71,134.94,3.39,183.4
02:25.0,Farm C,26.87,40.35,22.06,7.42,39.42,10.07,,31.01,Corn,3339.31,,6.66,344.26
02:25.0,Farm D,21.6,46.08,26.47,6.24,35.32,20.86,27.5,6.9,Wheat,4741.05,137.63,4.89,
02:25.0,Farm D,15.93,89.63,39.9,,35.39,27.72,4,46.69,Wheat,4765.11,46.45,9.23,1560.69
02:25.0,Farm B,,30.02,46.38,6.9,20.61,,29.09,16.63,Corn,3055.91,194.64,1.93,
02:25.0,Farm C,,83.44,,6.95,25.19,33.77,33.32,49.45,Corn,,169.6,5.13,
02:25.0,Farm D,22.57,64.72,37.32,,14.96,44.75,18.56,,Rice,4395.69,48.74,2.33,800.35
02:25.0,Farm D,29.12,88.12,49.63,5.27,,13.88,,,Rice,2468.91,191.9,2.76,1077.28
02:25.0,Farm B,17.19,55.77,14.61,7.93,36.22,,15.92,23.65,Wheat,1188.31,197.58,6.39,1300.73
02:25.0,Farm A,32.72,,27.08,6.77,35.91,4.84,38.65,12.04,Rice,2728.91,32.69,0.54,1941.48
02:25.0,Farm C,28.77,79.92,11.95,6.37,25.8,1.68,31.38,38.68,,4587.16,182.77,9.38,
02:25.0,Farm A,20.76,79.53,19.03,5.06,35.45,8.18,4.12,8.34,Soybeans,2446.02,159.31,2.16,1486.48
02:25.0,Farm C,21.35,,,7.71,24.86,21.15,1.83,21.34,,3100.64,82.89,2.99,1964.36
02:25.0,,15.9,32.5,34.93,,12.54,16.26,24.31,19.76,Rice,,51.29,9.58,1394.46
02:25.0,Farm B,34.53,73.32,44.34,5.75,18.48,16.41,34.42,19.09,Corn,1076.05,78.51,,573.34
02:25.0,Farm B,21.6,,2.66,6.04,38.22,3.66,33.26,2.29,Rice,3275.08,159.16,5.82,200.45
02:25.0,Farm C,23.34,67.24,29.93,7.41,16.94,4.6,23.22,29.9,Rice,3272.85,44.18,4.27,1209.82
02:25.0,Farm B,22.16,59.31,42.12,5.69,18.11,32.45,18.05,27.84,Wheat,1522.64,0.54,0.18,1049.79
02:25.0,Farm A,34.97,47.71,10.84,5.96,22.11,14.37,33.86,49.6,Wheat,2337.94,4.34,,999.83
02:25.0,Farm C,31.34,62.21,28.97,5.64,,49.75,39.98,39.3,Rice,4717.5,,9.47,1339
02:25.0,,33.88,63.45,34.06,6.9,,22.41,37.36,18.57,Soybeans,3864.83,174.59,7.64,
02:25.0,Farm C,15.84,58.49,6.49,7.05,18.86,15.98,19.21,34.98,Wheat,,101.46,9.75,445.18
02:25.0,Farm B,25.5,87.74,49.17,7.14,16.49,16.4,21.4,1.04,Soybeans,2166.96,53.53,,1495.62
02:25.0,Farm B,22.22,63.81,36.1,7.37,25.7,21.5,35.81,8.94,Rice,1061.7,87.22,4.63,1156.13
,Farm B,27.47,59.91,25.85,6.27,22.67,29.31,26.89,,Wheat,3321.09,177.28,,
02:25.0,Farm C,25.22,48.4,14.26,7.06,34.75,14.82,39.04,1.36,,,80.14,5.69,463.72
02:25.0,Farm A,21.23,,16.15,7.48,31.94,,16.43,29.22,Rice,,127.91,2.43,1878.43
02:25.0,Farm B,16.14,50.32,12.33,7.9,14.46,43.6,,4.25,Corn,,170.45,6.63,1569.94
02:25.0,Farm C,21.43,83.77,45.79,,25.91,39.68,36.49,34.46,Wheat,4913.04,7.46,6.56,289.48
02:25.0,Farm B,,51.78,47.94,6.89,21.72,11.37,25.15,29.56,Soybeans,4751.15,126.99,8.21,1776.49
02:25.0,Farm C,21.34,57.1,7.93,,18.25,39.05,28.11,,Soybeans,4526.74,136,3.66,628.37
02:25.0,Farm A,25.79,32.86,13.39,6.61,16.33,45.77,21.47,14.77,Corn,2110,129.26,,122.48
02:25.0,Farm D,17.94,67.52,31.99,6.67,22.45,21.25,37.89,17.05,Rice,1068.27,34.17,0.93,165.81
02:25.0,Farm B,31.85,58.2,,5.96,17.22,12.21,18.26,32.78,Rice,3393.73,192.69,7.14,576.74
02:25.0,Farm B,15.87,86.29,20.31,6.55,12.85,0.48,25.43,40.42,,4543.34,7.66,3.03,731.14
02:25.0,Farm A,18.64,33.87,25.34,6.26,27.18,,14.47,43.69,Corn,4131.03,110.71,2.83,972.79
02:25.0,Farm B,34.09,37.31,10.91,5.58,28.99,11.15,10.72,48.91,,3493.82,172.64,8.52,1352.29
02:25.0,Farm C,,68.53,28.23,6.97,,,,41.07,Rice,3359.81,139.56,0.79,1659.7
02:25.0,Farm A,26.71,70.54,13.5,7.76,25.19,25.09,5.18,36.16,Wheat,2087.53,122.99,3.77,1502.62
02:25.0,Farm A,21.72,,47.78,7.03,15.4,16.38,16.64,0.59,Soybeans,4579.43,85.7,2.99,1803.7
02:25.0,Farm A,18.86,30.28,24.49,7.64,21.99,27.62,3.63,7.06,Wheat,2570.01,125.94,7.55,431.24
,Farm C,21.24,89.74,10.06,7.11,33.02,43.26,0.81,5.89,,3237.69,79.2,8.82,676.07
02:25.0,,16.95,69.49,34.23,7.28,38.49,41.72,0.26,5.58,Soybeans,4241.3,124.54,5.17,659.4
02:25.0,Farm D,17.77,44.79,36.24,5.06,25.18,,26.77,42.98,Rice,1669.96,194.84,7.53,527.82
,Farm A,20.19,86.33,11.31,6.23,37.85,46.26,27.84,46.31,Rice,2608.13,34.76,7.12,1046.82
